artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration,prediccion
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),0.62,0.715,-6.005,0.417,0.0484,0.0822,0.172,97.95,221.52,1
Lewis Capaldi,Pointless,0.59,0.325,-3.943,0.0686,0.0495,0.104,0.278,180.449,235.75,0
Arcángel,La Jumpa,0.234,0.887,-14.52,0.111,0.178,0.13,0.197,140.02,196.8,0
PinkPantheress,Boy's a liar,0.838,0.656,-8.407,0.25,0.041,0.207,0.74,132.981,131.25,0
A$AP Rocky,Shittin' Me,0.659,0.738,-2.398,0.0411,0.17,0.0681,0.488,148.007,144.73,1
Pheelz,Ballin,0.536,0.738,-4.702,0.427,0.103,0.222,0.618,96.876,154.65,1
Villano Antillano,Kaleidoscópica,0.634,0.84,-7.464,0.0424,0.12,0.293,0.504,95.02,154.63,0
100 gecs,Torture Me (feat. Skrillex),0.903,0.723,-3.653,0.114,0.0593,0.121,0.811,156.991,113.49,1
Latto,FTCU (feat. GloRilla & Gangsta Boo),0.633,0.894,-5.294,0.0369,0.298,0.178,0.578,145.11,145.66,1
Morgan Wallen,One Thing At A Time,0.913,0.614,-5.126,0.0042,0.0296,0.26,0.92,141.982,206.86,0
Jessie Murph,Drunk in the Bathtub,0.522,0.625,-10.037,0.619,0.0403,0.297,0.374,93.958,166.03,0
Nas,"One Mic, One Gun",0.916,0.756,-2.692,0.0351,0.207,0.241,0.458,149.961,169.69,0
$uicideboy$,"My Swisher Sweet, But My Sig Sauer",0.969,0.683,-3.29,0.000275,0.171,0.94,0.595,170.017,226.93,0
RM,Still Life (with Anderson .Paak),0.721,0.831,-5.447,0.277,0.164,0.0403,0.443,124.007,175.33,1
Quinn XCII,Let Me Down (with Chelsea Cutler),0.335,0.843,-5.666,0.213,0.0917,0.157,0.355,94.983,149.73,1
Noah Cyrus,Set For Life,0.431,0.574,-8.202,0.0385,0.0275,0.108,0.225,113.995,248.28,0
PNAU,You Know What I Need,0.896,0.768,-3.501,0.0152,0.0969,0.0412,0.829,109.959,170.0,0
Bad Gyal,Real G,0.828,0.662,-5.854,0.148,0.0821,0.423,0.451,113.039,191.69,1
Metallica,Lux Æterna,0.996,0.386,-2.96,1.15e-05,0.0754,0.116,0.188,130.573,205.68,0
NEIL FRANCES,High,0.66,0.795,-10.331,0.181,0.164,0.35,0.761,91.936,164.21,0
Stephen Dawes,It Could Be Me,0.548,0.576,-9.045,0.368,0.0334,0.313,0.877,179.04,127.46,0
Parker McCollum,Stoned,0.615,0.512,-6.625,0.028,0.0393,0.352,0.476,123.979,188.29,0
MOUNT WESTMORE,Activated,0.723,0.82,-5.031,0.0184,0.224,0.148,0.378,99.931,239.53,0
Coi Leray,Players,0.516,0.954,-5.817,0.03,0.16,0.0504,0.624,105.001,139.56,1
Joy Oladokun,Power - From the Al Sharpton Documentary LOUDMOUTH,0.563,0.533,-7.456,0.172,0.0445,0.0782,0.321,92.187,194.51,0
James Arthur,Heartbeat,0.435,0.438,-9.967,0.499,0.0442,0.118,0.433,137.247,231.72,0
Katie Gregson-MacLeod,white lies,0.315,0.436,-7.57,0.859,0.0356,0.143,0.209,123.997,147.85,0
brakence,5g,0.618,0.57,-6.692,0.238,0.252,0.262,0.71,138.485,209.71,0
Snakehips,Solitude (with BIA & Lucky Daye),0.833,0.693,-5.832,0.00186,0.0736,0.413,0.452,120.025,174.48,0
Cruza,Fantasy,0.443,0.48,-13.001,0.199,0.343,0.124,0.193,109.93,179.14,0
half•alive,Nobody,0.687,0.726,-7.168,0.303,0.115,0.344,0.612,99.928,206.64,0
RINI,Pressure,0.355,0.668,-8.043,0.242,0.22,0.436,0.666,192.013,214.14,0
SkyeChristy,I'm Not Like Alice,0.261,0.558,-15.338,0.668,0.0311,0.114,0.251,130.223,136.15,0
Lyn Lapid,Saturn,0.55,0.325,-6.941,0.623,0.0801,0.114,0.24,169.849,213.67,0
Jelly Roll,she,0.699,0.484,-5.147,0.0748,0.0276,0.101,0.256,145.974,173.93,1
Loud Luxury,Afterparty,0.836,0.753,-5.506,0.101,0.044,0.118,0.661,121.95,160.85,1
Finesse2tymes,Overdose,0.59,0.875,-8.106,0.0332,0.271,0.109,0.485,137.013,128.19,0
2Rare,Lil Mama,0.571,0.519,-6.952,0.298,0.259,0.21,0.198,181.643,143.42,0
Precious Pepala,Voices,0.444,0.251,-6.212,0.00651,0.0368,0.297,0.217,85.819,150.34,0
Julia Wolf,Gothic Babe Tendencies (feat. blackbear),0.554,0.699,-8.492,0.387,0.0308,0.184,0.407,135.923,303.54,0
Felly,me and my gang,0.395,0.76,-8.563,0.694,0.0579,0.455,0.52,93.982,138.83,0
SASH,biscayne,0.635,0.707,-5.435,0.015,0.0391,0.268,0.251,149.025,121.47,0
Louis The Child,Amsterdam (Deep Inside) - Single Version,0.646,0.79,-9.319,0.0749,0.061,0.194,0.555,109.989,159.28,0
ITZY,Cheshire,0.838,0.79,-3.183,0.332,0.0501,0.357,0.738,98.966,182.45,1
Olivia Knox,Smoke Signal,0.747,0.569,-6.484,0.00102,0.05,0.0684,0.452,175.938,152.73,0
Emotional Oranges,Let Me Go,0.526,0.573,-8.606,0.263,0.239,0.0903,0.344,81.81,191.85,0
Lil Peep,angeldust,0.415,0.445,-9.165,0.492,0.0307,0.121,0.187,160.032,111.51,0
Nippa,The One,0.549,0.571,-4.96,0.54,0.307,0.261,0.779,86.284,136.81,1
Babyface Ray,Wonderful Wayne & Jackie Boy,0.715,0.806,-5.024,0.0305,0.291,0.391,0.319,172.138,133.95,0
Justus Bennetts,Everything Is Nothing,0.886,0.544,-4.371,0.0045,0.0683,0.142,0.86,193.923,121.6,0
Carlie Hanson,Pretender,0.807,0.647,-6.18,0.224,0.0565,0.153,0.266,104.923,128.91,0
Lainey Wilson,New Friends,0.63,0.562,-9.13,0.577,0.0312,0.149,0.187,97.996,255.41,0
Aya Nakamura,SMS,0.499,0.803,-7.969,0.232,0.276,0.0949,0.507,167.939,153.29,0
Powfu,"shade of blue (feat. Rxseboy, Tia Tia & Shalfi)",0.685,0.647,-6.934,0.83,0.25,0.121,0.411,88.005,148.64,0
OHGEESY,Gallery,0.65,0.889,-8.595,0.194,0.365,0.118,0.404,99.445,154.37,0
Lil Mosey,Backpack,0.56,0.85,-5.881,0.011,0.109,0.162,0.4,133.956,200.6,0
Yandel,Delincuente,0.652,0.807,-5.216,0.122,0.0928,0.131,0.429,107.932,172.48,1
Nakkia Gold,Past,0.428,0.446,-10.841,0.099,0.141,0.135,0.495,92.622,216.0,0
Two Friends,Hate Me (feat. Billy Lockett),0.675,0.514,-4.716,0.355,0.0391,0.16,0.42,87.977,191.97,1
Chloe George,Sunny D,0.733,0.405,-2.694,0.0619,0.0523,0.198,0.223,82.15,222.53,1
Emei,Backtrack,0.584,0.598,-4.224,0.0101,0.0553,0.195,0.619,159.956,158.84,0
Against The Current,blindfolded,0.975,0.507,-2.922,0.000286,0.0495,0.0784,0.426,141.984,199.24,0
Icewear Vezzo,One Time (feat. Jeezy),0.673,0.719,-7.69,0.00776,0.364,0.461,0.771,150.062,166.32,0
Saucy Santana,Bop Bop,0.623,0.878,-5.45,0.0365,0.133,0.323,0.637,105.017,137.14,1
Russ Millions,One of a Kind,0.712,0.912,-7.71,0.738,0.353,0.143,0.929,140.971,165.11,0
Jordan Hawkins,Screamin',0.595,0.641,-4.851,0.125,0.0482,0.138,0.77,119.986,205.5,1
THEY.,Set Me Free,0.435,0.328,-6.61,0.235,0.0277,0.293,0.0394,149.815,174.73,0
LU KALA,Pretty Girl Era,0.711,0.917,-5.835,0.192,0.153,0.0818,0.938,111.941,155.57,1
Circa Waves,Carry You Home,0.921,0.573,-3.239,0.000592,0.0521,0.14,0.383,105.966,199.07,0
Wallice,Japan,0.176,0.451,-9.991,0.728,0.0312,0.11,0.107,86.707,216.3,0
Jonah Kagen,georgia,0.376,0.327,-10.54,0.861,0.0384,0.345,0.285,80.114,210.19,0
Peach Tree Rascals,I Need That,0.751,0.706,-5.801,0.114,0.0829,0.0833,0.788,172.027,150.71,1
Tenille Arts,Motel On the Moon,0.783,0.357,-5.011,0.339,0.0449,0.333,0.344,145.427,238.9,0
amy michelle,patience,0.368,0.487,-9.451,0.562,0.033,0.263,0.282,128.111,242.31,0
Christian Kuria,Santorini,0.386,0.236,-9.351,0.582,0.0332,0.315,0.314,153.329,148.08,0
Yungeen Ace,Gang Nem (feat. EST Gee),0.408,0.89,-6.757,0.234,0.421,0.112,0.64,81.019,143.7,0
Sheck Wes,PAIN!,0.485,0.746,-10.318,0.056,0.227,0.114,0.351,163.06,98.09,0
Carl Cox,Deep Space X,0.918,0.673,-6.406,0.000906,0.0459,0.0972,0.194,132.023,388.0,0
RL Grime,Renegade,0.933,0.554,-3.67,0.173,0.0798,0.0954,0.337,146.033,285.62,0
Hunter Daily,Skeleton Key,0.284,0.556,-9.066,0.813,0.0312,0.216,0.255,96.593,179.11,0
Alex Warren,Chasing Shadows,0.604,0.779,-8.039,0.556,0.0403,0.112,0.404,120.017,164.03,0
will hyde,6am in amsterdam.,0.617,0.66,-7.216,0.34,0.14,0.124,0.566,100.05,206.56,0
Baby Fisher,This is the End,0.504,0.609,-8.679,0.0259,0.0325,0.717,0.326,122.003,190.33,0
"hey, nothing",Too Drunk to Drive,0.611,0.535,-7.2,0.0152,0.0417,0.352,0.714,135.046,212.57,0
lozeak,Cutthroat,0.47,0.592,-6.056,0.288,0.0408,0.263,0.357,129.784,193.47,0
moony,machines,0.797,0.576,-4.28,0.000417,0.0656,0.0814,0.472,165.027,178.58,0
Ivan Cornejo,Ya Te Perdí - Deluxe,0.352,0.55,-9.236,0.469,0.0272,0.119,0.169,123.794,264.3,0
Aáyanna,Risky,0.526,0.775,-5.716,0.389,0.206,0.125,0.906,140.034,137.58,1
David Dunn,Poison,0.596,0.662,-8.643,0.562,0.0372,0.241,0.547,122.039,177.25,0
Rileyy Lanez,On Us,0.437,0.419,-8.889,0.369,0.0462,0.091,0.329,101.203,196.01,0
Laci Kaye Booth,Damn Good in a Dive Bar,0.716,0.637,-7.209,0.0518,0.036,0.0932,0.475,136.065,184.24,0
Ellise,Did It Hurt?,0.575,0.489,-7.083,0.433,0.153,0.0976,0.498,127.274,164.57,0
Ellye Lennon,Priority,0.256,0.452,-10.331,0.425,0.0334,0.192,0.203,130.086,226.01,0
Blair Lee,Last Bite,0.405,0.593,-10.335,0.17,0.0241,0.136,0.164,147.971,197.39,0
Day Wave,Cold Like Me,0.929,0.403,-5.424,0.522,0.0309,0.105,0.324,159.961,182.2,0
Daniel Allan,Minuteman (with DLG.),0.51,0.741,-8.725,0.0582,0.303,0.0673,0.32,165.975,198.07,0
Kieran Ivy,Figured Out,0.697,0.702,-7.816,0.00306,0.0376,0.387,0.969,129.999,146.74,0
Teenage Priest,Let It Pass,0.545,0.56,-7.825,0.17,0.0384,0.108,0.451,173.803,268.91,0
Grabbitz,When You & Me Dance,0.96,0.491,-2.342,0.0147,0.33,0.364,0.272,140.011,221.14,0
Adeem the Artist,Carolina,0.727,0.522,-5.935,0.0693,0.0516,0.0869,0.164,75.108,204.45,1
