"sc-fYxtnH","sc-tilXH","sc-gtfDJT","sc-gtfDJT 2","sc-gtfDJT 3","sc-gtfDJT 4","sc-gtfDJT 5","sc-hXRMBi","sc-hXRMBi 2","sc-hXRMBi 3","sc-gzVnrw","sc-gzVnrw href","sc-RefOD","sc-RefOD 2","sc-gzVnrw 2","sc-gzVnrw href 2","sc-RefOD 3","sc-RefOD 4","sc-gzVnrw 3","sc-gzVnrw href 3","sc-RefOD 5","sc-RefOD 6","sc-gzVnrw 4","sc-RefOD 7","sc-RefOD 8","sc-gzVnrw 5","sc-RefOD 9","sc-RefOD 10","sc-hXRMBi 4","sc-jeCdPy","sc-jeCdPy 2","sc-jeCdPy 3","sc-RefOD 11","sc-RefOD 12","sc-RefOD 13","sc-RefOD 14","sc-jeCdPy 4","sc-RefOD 15","sc-RefOD 16","sc-RefOD 17","sc-RefOD 18","sc-jeCdPy 5","sc-RefOD 19","sc-RefOD 20","sc-jVODtj","sc-jVODtj 3"
"Total fans","Follower and subscriber evolution over the last 28 days","0.4%","0.3%","-0%","1.2%","0.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TikTok Links","Top 15 links by videocount","","","","","","Link name","Creator","Total videos","STAY","https://www.tiktok.com/music/STAY-6981869640796342274","Justin Bieber & The Kid LAROI.","7,900,000","Ghost Kuya Magik Remake","https://www.tiktok.com/music/Ghost-Kuya-Magik-Remake-7064086824569817883","Kuya Magik","3,800,000","Yummy","https://www.tiktok.com/music/Yummy-6777509948566800385","Justin Bieber","3,100,000","Upgrade your plan","TRIAL_DATA","2,500,000","Upgrade your plan","TRIAL_DATA","1,500,000","","","","","","","","","","","","","","","","","",""
"24,598,900 total TikTok videos","Total videos over the last 28 days","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spotify playlists","Top playlists by number of followers","","","","","","Playlist name","Position","Added on","Show more","https://app.soundcharts.com/app/artist/justin-bieber/playlists?platform=spotify","Today's Top Hits","43","","","Jul 09, 21","32,237,466","","","Songs to Sing in the Car","43","","Jan 18, 19","10,135,664","","Songs to Sing in the Car","69","Likes","/ 50","/ 100","/ 100","Apr 26, 21","10,135,664","Songs to Sing in the Car","79","/ 100","Jun 15, 21","10,135,664","Songs to Sing in the Car","10","/ 100","Nov 12, 21","10,135,664","",""
"Apple Music playlists","Top playlists by country reach","","","","","","Name/Countries","Position","Added on","Show more","https://app.soundcharts.com/app/artist/justin-bieber/playlists?platform=apple-music","8","Oct 24, 22","","","22","Oct 24, 22","","","15","Aug 05, 21","","12","Aug 05, 21","","8","Aug 05, 21","","/ 30","/ 30","/ 36","","","","","/ 36","","","","","/ 36","","","+152","+152"
"Deezer playlists","Top playlists by number of followers","","","","","","Playlist name","Position","Added on","Show more","https://app.soundcharts.com/app/artist/justin-bieber/playlists?platform=deezer","55","Jul 19, 21","","","41","Jul 20, 21","","","18","Feb 13, 20","","46","Jul 19, 21","","18","Feb 13, 20","Fans","/ 100","/ 100","/ 40","Top Germany","2,719,398","Top UK","1,956,222","/ 50","Selección Editorial GT","1,871,809","Global Hits","1,360,911","/ 40","Selección Editorial HN","901,497","",""
"YouTube playlists","Top playlists by number of views","","","","","","Playlist name","Position","Added on","Show more","https://app.soundcharts.com/app/artist/justin-bieber/playlists?platform=youtube","5","Sep 30, 22","","","28","Sep 30, 22","","","80","Sep 30, 22","","78","Sep 30, 22","","49","Sep 30, 22","Views","/ 100","/ 100","/ 100","Top Country Songs Playlist 2022 - Hottest Country Songs of the Moment 2022 (COUNTRY MUSIC)","150,614,646","Best Country Songs of All Time - Top Country Music Videos","138,142,624","/ 100","Best Summer Songs 2022 ♫ Summer Hits 2022 Playlist","127,329,165","Best Summer Songs 2022 ♫ Summer Hits 2022 Playlist","127,329,165","/ 100","Country Music Playlist - Best Timeless Country Songs & Country Music 2022","109,346,753","",""
"Amazon playlists","Top playlists by country reach","","","","","","Name/Countries","Position","Added on","Show more","https://app.soundcharts.com/app/artist/justin-bieber/playlists?platform=amazon","33","Jun 25, 22","","","21","Aug 20, 20","","","17","Aug 20, 20","","63","Jun 29, 22","","46","Apr 29, 22","","/ 40","/ 40","/ 100","","","","","/ 100","","","","","/ 55","","","+2","+1"
"Radio Airplay","Radio plays by country in the last 28 days","-11.9%","-4%","-2.8%","-6.4%","-16.3%","Country","This month","Previous month","Show more","https://app.soundcharts.com/app/artist/justin-bieber/airplay/insights","35,628","40,443","Upgrade your plan","","9,466","9,865","Upgrade your plan","","8,688","8,941","","5,389","5,755","","3,921","4,684","Change","","","","","","","","","","","","","","","","",""
"Compare Artist","Performance against similar artists in the last 28 days","","","","","","","","","PRETTYMUCH","https://app.soundcharts.com/app/market/compare?artists=justin-bieber.prettymuch","","","Fifth Harmony","https://app.soundcharts.com/app/market/compare?artists=justin-bieber.prettymuch","","","Alessia Cara","https://app.soundcharts.com/app/market/compare?artists=justin-bieber.fifth-harmony","","","ZAYN","","","Demi Lovato","","","","","","","","","","","","","","","","","","","",""